SITE,METER_READ_DATE,VOLUME_CONSUMPTION
Site2,20200217,3
Site2,20200218,5
Site2,20200219,4
,,
Site2,20200221,5
Site2,20200222,4
Site2,20200223,4
Site2,20200224,3
Site2,20200225,4
Site2,20200226,4
Site2,20200227,5
Site2,20200228,4
Site2,20200229,8
Site2,20200301,4
Site2,20200302,4
Site2,20200303,5
Site2,20200304,5
Site2,20200305,5
Site2,20200306,6
Site2,20200307,5
Site2,20200308,4
Site2,20200309,3
Site2,20200310,4
Site2,20200311,4
Site2,20200312,3
Site2,20200313,5
Site2,20200314,4
Site2,20200315,3
Site2,20200316,4
Site2,20200317,4
Site2,20200318,3
Site2,20200319,5
Site2,20200320,4
Site2,20200321,7
Site2,20200322,6
Site2,20200323,5
Site2,20200324,5
Site2,20200325,1
Site2,20200326,4
Site2,20200327,6
Site2,20200328,7
Site2,20200329,4
Site2,20200330,6
Site2,20200331,6
Site2,20200401,7
Site3,20190402,9
Site3,20190403,16
Site3,20190404,14
Site3,20190405,15
Site3,20190406,13
Site3,20190407,14
Site3,20190408,14
Site3,20190409,12
Site3,20190410,13
Site3,20190411,11
Site3,20190412,11
Site3,20190413,11
Site3,20190414,11
Site3,20190415,12
Site3,20190416,8
Site3,20190417,7
Site3,20190418,5
Site3,20190419,5
Site3,20190420,3
Site3,20190421,5
Site3,20190422,4
Site3,20190423,2
Site3,20190424,1
Site3,20190425,4
Site3,20190426,5
Site3,20190427,7
Site3,20190430,9
Site3,20190501,6
Site3,20190502,5
Site3,20190503,5
Site3,20190504,8
Site3,20190505,8
Site3,20190506,11
Site3,20190507,9
Site3,20190508,7
Site3,20190509,8
Site3,20190510,8
Site3,20190511,7
Site3,20190512,6
Site3,20190513,8
Site3,20190514,5
Site3,20190515,6
Site3,20190516,5
Site3,20190517,5
Site3,20190518,8
Site3,20190519,6
Site3,20190520,8
Site3,20190521,6
Site3,20190522,2
Site3,20190523,1
Site3,20190524,0
Site3,20190525,1
Site3,20190526,0
Site3,20190527,1
Site3,20190528,0
Site3,20190529,0
Site3,20190530,0
Site3,20190531,0
Site3,20190601,0
Site3,20190602,1
Site3,20190603,1
Site3,20190604,1
,,
Site3,20190606,1
Site3,20190609,1
Site3,20190610,1
Site3,20190611,3
Site3,20190612,3
Site3,20190613,3
Site3,20190614,2
Site3,20190615,1
Site3,20190616,1
Site3,20190617,1
Site3,20190618,1
Site3,20190619,0
Site3,20190620,1
Site3,20190621,1
Site3,20190622,0
Site3,20190623,0
Site3,20190624,1
Site3,20190625,1
Site3,20190626,0
Site3,20190627,1
Site3,20190628,0
Site3,20190629,0
Site3,20190630,0
Site3,20191001,1
Site3,20191002,1
Site3,20191003,3
Site3,20191004,10
Site3,20191005,2
Site3,20191006,5
Site3,20191007,3
Site3,20191008,4
Site3,20191009,4
Site3,20191020,10
Site3,20191021,11
Site3,20191022,9
Site3,20191023,4
Site3,20191024,10
Site3,20191025,8
Site3,20191026,9
Site3,20191027,8
Site3,20191028,10
Site3,20191029,10
Site3,20191030,10
Site3,20191031,6
Site3,20191101,10
Site3,20191102,10
Site3,20191103,11
Site3,20191104,15
Site3,20191105,10
Site3,20191106,8
Site3,20191107,9
Site3,20191108,9
Site3,20191109,10
Site3,20191110,12
Site3,20191111,12
Site3,20191112,11
Site3,20191113,10
Site3,20191114,9
Site3,20191115,11
Site3,20191116,11
Site3,20191117,12
Site3,20191118,15
Site3,20191119,9
